"age","gender","weekend","season","bath","in.awk.min","in.slp.min","in.awk.pai","in.slp.pai"
0,"F",0,"W",1,465,975,1.897,0.9
0,"F",0,"P",1,680,760,3.799,0.9
0,"F",0,"P",0,205,615,3.795,0.9
0,"F",0,"S",1,510,615,1.868,0.9
0,"F",0,"P",0,165,655,1.868,0.9
0,"F",0,"W",1,375,960,2.302,0.9
0,"F",0,"S",1,314,185,1.869,0.9
0,"F",0,"S",1,420,720,1.886,0.9
0,"F",0,"S",1,140,685,2.275,0.9
0,"F",0,"S",1,720,720,1.702,0.9
0,"F",0,"S",0,410,735,3.674,0.9
0,"F",0,"S",1,345,840,1.909,0.9
0,"F",0,"F",1,625,815,1.856,0.9
0,"F",0,"S",0,285,1020,1.868,0.9
0,"F",0,"F",1,520,920,3.111,0.9
0,"F",0,"F",1,310,1070,1.859,0.9
0,"F",0,"F",0,415,955,5.061,0.9
0,"F",0,"F",0,810,520,1.844,0.9
0,"F",0,"F",0,435,930,1.833,0.9
0,"F",0,"F",1,435,825,3.341,0.9
0,"F",0,"F",1,433,857,1.857,0.9
0,"F",0,"W",1,490,950,1.856,0.9
0,"F",0,"W",0,550,890,1.89,0.9
0,"F",0,"W",0,220,675,2.999,0.9
0,"F",0,"W",0,620,780,2.881,0.9
0,"F",0,"W",1,210,615,2.602,0.9
0,"F",0,"W",1,485,955,1.867,0.9
0,"F",0,"W",1,600,685,1.859,0.9
0,"F",0,"W",1,480,700,2.459,0.9
0,"F",0,"W",0,480,615,3.174,0.9
0,"F",0,"W",0,390,940,1.885,0.9
0,"F",0,"W",1,540,675,3.158,0.9
0,"F",0,"W",1,452,988,1.76,0.9
0,"F",0,"W",0,430,1010,1.825,0.9
0,"F",0,"W",1,350,870,1.953,0.9
0,"F",0,"P",0,520,877,2.008,0.9
0,"F",0,"P",0,759,639,2.062,0.9
0,"F",0,"P",0,611,782,3.15,0.9
0,"F",0,"P",0,646,767,2.934,0.9
0,"F",0,"S",0,493,862,4.136,0.9
0,"F",0,"S",0,292,939,2.802,0.9
0,"F",0,"S",0,408,705,3.985,0.9
0,"F",0,"S",0,440,870,3.16,0.9
0,"F",0,"S",0,370,685,3.973,0.9
0,"F",0,"P",0,630,810,2.199,0.9
0,"F",0,"P",0,425,942,1.771,0.9
0,"F",0,"P",0,347,906,1.785,0.9
0,"F",0,"P",0,593,692,1.928,0.9
0,"F",0,"P",0,538,760,2.034,0.9
0,"F",0,"S",0,514,814,2.089,0.9
0,"F",0,"S",0,515,925,1.747,0.9
0,"F",0,"S",0,475,864,2.802,0.9
0,"F",0,"S",0,659,679,2.228,0.9
0,"F",0,"S",0,418,924,2.131,0.9
0,"F",0,"S",0,512,928,2.18,0.9
0,"F",0,"S",0,322,1086,2.121,0.9
0,"F",0,"S",0,367,1073,3.383,0.9
0,"F",0,"S",0,385,1055,3.033,0.9
0,"F",0,"S",0,400,865,2.2,0.9
0,"F",0,"S",0,413,822,2.101,0.9
0,"F",0,"S",0,428,829,2.438,0.9
0,"F",0,"S",0,539,901,2.673,0.9
0,"F",0,"S",0,459,976,2.547,0.9
0,"F",0,"S",0,443,997,1.9,0.9
0,"F",0,"S",1,510,800,3.075,0.9
0,"F",0,"P",1,780,570,2.839,0.9
0,"F",0,"F",1,440,570,1.691,0.9
0,"F",0,"W",1,467,973,3.025,0.9
0,"F",0,"W",0,960,480,2.674,0.9
0,"F",0,"P",1,595,700,3.065,0.9
0,"F",0,"W",1,800,630,2.386,0.9
0,"F",0,"W",0,660,780,2.155,0.9
0,"F",0,"W",1,795,645,2.977,0.9
0,"F",0,"F",1,720,720,3.03,0.9
0,"F",0,"F",0,520,780,2.662,0.9
0,"F",0,"P",0,718,720,2.509,0.9
0,"F",0,"P",0,265,1175,1.456,0.9
0,"F",0,"P",0,435,745,2.644,0.9
0,"F",0,"F",1,463,650,2.845,0.9
0,"F",0,"P",1,575,865,2.79,0.9
0,"F",0,"W",0,330,1110,1.405,0.9
0,"F",0,"P",1,540,900,2.754,0.9
0,"F",0,"S",1,570,760,2.882,0.9
0,"F",0,"F",0,455,805,3.474,0.9
0,"F",0,"S",0,565,620,3.835,0.9
0,"F",0,"P",0,765,675,4.171,0.9
0,"F",0,"F",0,555,810,3.6,0.9
0,"F",0,"P",0,335,775,2.285,0.9
0,"F",0,"F",0,235,570,3.292,0.9
0,"F",0,"P",0,618,767,3.946,0.9
0,"F",0,"P",0,251,1049,2.407,0.9
0,"F",0,"P",0,825,570,2.6,0.9
0,"F",0,"P",0,495,945,3.252,0.9
0,"F",0,"P",0,623,762,3.748,0.9
0,"F",0,"P",0,420,1020,2.022,0.9
0,"F",0,"S",0,415,750,3.182,0.9
0,"F",0,"X",0,516,890,2.76,0.9
0,"F",0,"S",0,435,755,3.16,0.9
0,"F",0,"F",0,250,570,1.912,0.9
0,"F",0,"S",0,440,840,2.685,0.9
0,"F",0,"S",0,330,830,3.537,0.9
0,"F",0,"P",0,360,1005,2.3,0.9
0,"F",0,"P",0,250,880,2.814,0.9
0,"F",0,"F",0,180,420,3.009,0.9
0,"F",0,"P",0,725,645,4.331,0.9
0,"F",0,"P",0,525,870,3.623,0.9
0,"F",0,"P",0,500,890,2.611,0.9
0,"F",0,"F",0,500,775,3.27,0.9
0,"F",0,"F",0,643,655,3.842,0.9
0,"F",0,"P",0,855,555,3.305,0.9
0,"F",0,"F",0,470,910,2.652,0.9
