"micro","micro.label","media","type","contact.p","media.label"
"in.awk","  Inside Home Awake","In.Awk.Air","  Air",1,"      Inside Awake-Air"
"in.awk","  Inside Home Awake","In.Awk.Pet","  Pet",0,"      Inside Awake-Pet"
"in.awk","  Inside Home Awake","In.Awk.Srf","  Srf",1,"      Inside Awake-Surface"
"in.slp","  Inside Home Asleep","In.Slp.Air","  Air",1,"      Inside Asleep-Air"
"in.slp","  Inside Home Asleep","In.Slp.Srf","  Srf",0,"      Inside Asleep-Surface"
"in.wrk","   Inside at Work/School","In.Wk.Air","   Air",0,"      Inside Work-Air"
"in.wrk","   Inside at Work/School","In.Wk.Srf","   Srf",0,"      Inside Work-Surface"
"in.oth","  Inside Other","In.Oth.Air","  Air",0,"      Inside Other-Air"
"in.oth","  Inside Other","In.Oth.Srf","  Srf",0,"      Inside Other-Surface"
"in.veh","  Inside Vehicle","Veh.Air","    Air",0,"      Vehicle-Air"
"in.veh","  Inside Vehicle","Veh.Srf","    Srf",0,"      Vehicle-Surface"
"out.hm","  Outside at Home","Out.Hm.Air","  Air",0,"      Outside Home-Air"
"out.hm","  Outside at Home","Out.Hm.Pet","  Pet",0,"      Outside Home-Pet"
"out.hm","  Outside at Home","Out.Hm.Srf","  Srf",0,"      Outside Home-Surface"
"out.wrk","  Outside at Work/School","Out.Wk.Air","  Air",0,"      Outside Work-Air"
"out.wrk","  Outside at Work/School","Out.Wk.Srf","  Srf",0,"      Outside Work-Surface"
"out.oth"," Outside Other","Out.Oth.Air"," Air",0,"      Outside Other-Air"
"out.oth"," Outside Other","Out.Oth.Srf"," Srf",0,"      Outside Other-Surface"
