"wgtmean","wgtstdev","hgtmean","hgtstdev","hgtslope","hgtinter","hgtresid","bmrslope","bmrinter","bmrresid","gender","age"
2.163,0.145,"64.4","2.52","NA","NA","NA",0.244,-0.13,0.25,"F",0
2.376,0.129,"79.8","3.15","NA","NA","NA",0.244,-0.13,0.25,"F",1
2.555,0.113,"90.4","3.73","NA","NA","NA",0.244,-0.13,0.25,"F",2
2.688,0.136,"97.1","4.12","NA","NA","NA",0.085,2.033,0.29,"F",3
2.82,0.135,"103.9","4.54","NA","NA","NA",0.085,2.033,0.29,"F",4
2.932,0.164,"110.9","4.94","NA","NA","NA",0.085,2.033,0.29,"F",5
3.081,0.173,"117.9","5.32","NA","NA","NA",0.085,2.033,0.29,"F",6
3.186,0.176,"124.4","5.68","NA","NA","NA",0.085,2.033,0.29,"F",7
3.308,0.157,"130.1","6.02","NA","NA","NA",0.085,2.033,0.29,"F",8
3.432,0.216,"135.2","6.42","NA","NA","NA",0.085,2.033,0.29,"F",9
3.559,0.198,"140.5","6.97","NA","NA","NA",0.056,2.898,0.47,"F",10
3.697,0.226,"147.2","7.41","NA","NA","NA",0.056,2.898,0.47,"F",11
3.819,0.214,"154.3","7.19","NA","NA","NA",0.056,2.898,0.47,"F",12
3.907,0.214,"158.9","6.73","NA","NA","NA",0.056,2.898,0.47,"F",13
3.982,0.187,"161.2","6.52","NA","NA","NA",0.056,2.898,0.47,"F",14
3.992,0.159,"162.2","6.47","NA","NA","NA",0.056,2.898,0.47,"F",15
4.043,0.166,"162.7","6.47","NA","NA","NA",0.056,2.898,0.47,"F",16
4.069,0.166,"163","6.47","NA","NA","NA",0.056,2.898,0.47,"F",17
4.056,0.148,"163.2","6.47","NA","NA","NA",0.062,2.036,0.5,"F",18
4.081,0.149,"163.3","6.47","NA","NA","NA",0.062,2.036,0.5,"F",19
4.084,0.168,"NA","NA","3.07","128.2","6.3",0.062,2.036,0.5,"F",20
4.084,0.168,"NA","NA","3.07","128.2","6.3",0.062,2.036,0.5,"F",21
4.084,0.168,"NA","NA","3.07","128.2","6.3",0.062,2.036,0.5,"F",22
4.137,0.205,"NA","NA","3.07","128.2","6.3",0.062,2.036,0.5,"F",23
4.137,0.205,"NA","NA","3.07","128.2","6.3",0.062,2.036,0.5,"F",24
4.137,0.205,"NA","NA","3.07","128.2","6.3",0.062,2.036,0.5,"F",25
4.137,0.205,"NA","NA","3.07","128.2","6.3",0.062,2.036,0.5,"F",26
4.137,0.205,"NA","NA","3.07","128.2","6.3",0.062,2.036,0.5,"F",27
4.137,0.205,"NA","NA","3.07","128.2","6.3",0.062,2.036,0.5,"F",28
4.137,0.205,"NA","NA","3.07","128.2","6.3",0.062,2.036,0.5,"F",29
4.137,0.205,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",30
4.137,0.205,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",31
4.137,0.205,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",32
4.137,0.205,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",33
4.137,0.205,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",34
4.182,0.209,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",35
4.182,0.209,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",36
4.182,0.209,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",37
4.182,0.209,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",38
4.182,0.209,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",39
4.182,0.209,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",40
4.182,0.209,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",41
4.182,0.209,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",42
4.182,0.209,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",43
4.182,0.209,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",44
4.193,0.208,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",45
4.193,0.208,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",46
4.193,0.208,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",47
4.193,0.208,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",48
4.193,0.208,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",49
4.193,0.208,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",50
4.193,0.208,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",51
4.193,0.208,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",52
4.193,0.208,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",53
4.193,0.208,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",54
4.192,0.205,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",55
4.192,0.205,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",56
4.192,0.205,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",57
4.192,0.205,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",58
4.192,0.205,"NA","NA","3.07","128.2","6.3",0.034,3.538,0.47,"F",59
4.192,0.205,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",60
4.192,0.205,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",61
4.192,0.205,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",62
4.192,0.205,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",63
4.192,0.205,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",64
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",65
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",66
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",67
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",68
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",69
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",70
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",71
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",72
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",73
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",74
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",75
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",76
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",77
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",78
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",79
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",80
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",81
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",82
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",83
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",84
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",85
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",86
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",87
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",88
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",89
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",90
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",91
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",92
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",93
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",94
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",95
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",96
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",97
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",98
4.176,0.197,"NA","NA","3.07","128.2","6.3",0.038,2.755,0.45,"F",99
2.232,0.129,"66.1","2.56","NA","NA","NA",0.244,-0.127,0.29,"M",0
2.458,0.12,"81.4","3.17","NA","NA","NA",0.244,-0.127,0.29,"M",1
2.603,0.118,"91.4","3.71","NA","NA","NA",0.244,-0.127,0.29,"M",2
2.743,0.115,"98.4","4.01","NA","NA","NA",0.095,2.11,0.28,"M",3
2.865,0.133,"105.3","4.4","NA","NA","NA",0.095,2.11,0.28,"M",4
