"","source.type","source.id","source.description","DTXSID","CASRN","PREFERRED_NAME","variable","form","mean","cv","gender","min.age","max.age","values"
"1","Product","P.AC.010.029","arts and crafts adhesive spray","DTXSID4027028","124-38-9","Carbon dioxide","f.chemical","empirical",0,0,"B","0","99","0.03"
"2","Product","P.AC.010.029","arts and crafts adhesive spray","DTXSID4027028","124-38-9","Carbon dioxide","chem.prev","point",1,0,"B","0","99","0.03"
"3","Product","P.AC.010.029","arts and crafts adhesive spray","DTXSID0020868","75-09-2","Dichloromethane","f.chemical","empirical",0,0,"B","0","99","0.32"
"4","Product","P.AC.010.029","arts and crafts adhesive spray","DTXSID0020868","75-09-2","Dichloromethane","chem.prev","point",1,0,"B","0","99","0.32"
"5","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID9021392","102-71-6","Triethanolamine","f.chemical","empirical",0,0,"B","0","99","0.01, 0.009, 0.009"
"6","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID9021392","102-71-6","Triethanolamine","chem.prev","point",1,0,"B","0","99","0.01, 0.009, 0.009"
"7","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID4020240","105-60-2","Caprolactam","f.chemical","empirical",0,0,"B","0","99","0.05"
"8","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID4020240","105-60-2","Caprolactam","chem.prev","point",1,0,"B","0","99","0.05"
"9","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID7024665","106-97-8","Butane","f.chemical","empirical",0,0,"B","0","99","0.1127, 0.05"
"10","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID7024665","106-97-8","Butane","chem.prev","point",1,0,"B","0","99","0.1127, 0.05"
"11","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID8020597","107-21-1","Ethylene glycol","f.chemical","empirical",0,0,"B","0","99","0.05, 0.01"
"12","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID8020597","107-21-1","Ethylene glycol","chem.prev","point",1,0,"B","0","99","0.05, 0.01"
"13","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID8024284","107-98-2","1-Methoxy-2-propanol","f.chemical","empirical",0,0,"B","0","99","0.06, 0.06"
"14","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID8024284","107-98-2","1-Methoxy-2-propanol","chem.prev","point",1,0,"B","0","99","0.06, 0.06"
"15","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID3021431","108-05-4","Vinyl acetate","f.chemical","empirical",0,0,"B","0","99","0.16, 0.005"
"16","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID3021431","108-05-4","Vinyl acetate","chem.prev","point",1,0,"B","0","99","0.16, 0.005"
"17","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID4021923","110-82-7","Cyclohexane","f.chemical","empirical",0,0,"B","0","99","0.15"
"18","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID4021923","110-82-7","Cyclohexane","chem.prev","point",1,0,"B","0","99","0.15"
"19","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID8026937","115-10-6","Dimethyl ether","f.chemical","empirical",0,0,"B","0","99","0.15"
"20","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID8026937","115-10-6","Dimethyl ether","chem.prev","point",1,0,"B","0","99","0.15"
"21","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID9021976","122-99-6","2-Phenoxyethanol","f.chemical","empirical",0,0,"B","0","99","0.001"
"22","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID9021976","122-99-6","2-Phenoxyethanol","chem.prev","point",1,0,"B","0","99","0.001"
"23","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID7020716","123-31-9","Hydroquinone","f.chemical","empirical",0,0,"B","0","99","0.002"
"24","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID7020716","123-31-9","Hydroquinone","chem.prev","point",1,0,"B","0","99","0.002"
"25","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID6024676","141-32-2","Butyl acrylate","f.chemical","empirical",0,0,"B","0","99","0.6"
"26","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID6024676","141-32-2","Butyl acrylate","chem.prev","point",1,0,"B","0","99","0.6"
"27","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID6024127","142-82-5","Heptane","f.chemical","empirical",0,0,"B","0","99","0.0528"
"28","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID6024127","142-82-5","Heptane","chem.prev","point",1,0,"B","0","99","0.0528"
"29","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID8027117","147-14-8","Copper phthalocyanine","f.chemical","empirical",0,0,"B","0","99","0.02, 2e-04"
"30","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID8027117","147-14-8","Copper phthalocyanine","chem.prev","point",1,0,"B","0","99","0.02, 2e-04"
"31","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID0021337","148-79-8","Thiabendazole","f.chemical","empirical",0,0,"B","0","99","0.00035"
"32","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID0021337","148-79-8","Thiabendazole","chem.prev","point",1,0,"B","0","99","0.00035"
"33","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID7021233","16423-68-0","FD&C Red 3","f.chemical","empirical",0,0,"B","0","99","0.001, 0.001"
"34","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID7021233","16423-68-0","FD&C Red 3","chem.prev","point",1,0,"B","0","99","0.001, 0.001"
"35","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID6024624","1675-54-3","Bisphenol A diglycidyl ether","f.chemical","empirical",0,0,"B","0","99","0.0099, 0.0099"
"36","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID6024624","1675-54-3","Bisphenol A diglycidyl ether","chem.prev","point",1,0,"B","0","99","0.0099, 0.0099"
"37","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID9034286","26172-55-4","5-Chloro-2-methyl-3(2H)-isothiazolone","f.chemical","empirical",0,0,"B","0","99","0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001"
"38","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID9034286","26172-55-4","5-Chloro-2-methyl-3(2H)-isothiazolone","chem.prev","point",1,0,"B","0","99","0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001"
"39","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID2034259","2682-20-4","2-Methyl-3(2H)-isothiazolone","f.chemical","empirical",0,0,"B","0","99","0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001"
"40","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID2034259","2682-20-4","2-Methyl-3(2H)-isothiazolone","chem.prev","point",1,0,"B","0","99","0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001"
"41","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID3042348","35285-69-9","Propylparaben sodium","f.chemical","empirical",0,0,"B","0","99","0.02"
"42","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID3042348","35285-69-9","Propylparaben sodium","chem.prev","point",1,0,"B","0","99","0.02"
