"Source.ID","Source.description","Variable","Chemical","Units","Gender","Min.Age","Max.Age","Form","Mean","CV"
"AS ","FOOD; AS: ASPARAGUS ","detects ","101-21-3 ","[-] ","B ",0,99,"Point ",1,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","10265-92-6 ","[-] ","B ",0,99,"Point ",14,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","1031-07-8 ","[-] ","B ",0,99,"Point ",3,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","10453-86-8 ","[-] ","B ",0,99,"Point ",1,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","1113-02-6 ","[-] ","B ",0,99,"Point ",3,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","138261-41-5 ","[-] ","B ",0,99,"Point ",2,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","148-79-8 ","[-] ","B ",0,99,"Point ",3,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","1563-66-2 ","[-] ","B ",0,99,"Point ",5,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","16655-82-6 ","[-] ","B ",0,99,"Point ",2,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","16752-77-5 ","[-] ","B ",0,99,"Point ",69,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","1861-32-1 ","[-] ","B ",0,99,"Point ",3,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","21087-64-9 ","[-] ","B ",0,99,"Point ",24,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","2921-88-2 ","[-] ","B ",0,99,"Point ",77,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","330-54-1 ","[-] ","B ",0,99,"Point ",6,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","330-55-2 ","[-] ","B ",0,99,"Point ",24,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","33213-65-9 ","[-] ","B ",0,99,"Point ",1,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","35554-44-0 ","[-] ","B ",0,99,"Point ",1,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","36734-19-7 ","[-] ","B ",0,99,"Point ",1,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","51877-74-8 ","[-] ","B ",0,99,"Point ",1,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","52315-07-8 ","[-] ","B ",0,99,"Point ",5,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","54774-45-7 ","[-] ","B ",0,99,"Point ",1,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","57837-19-1 ","[-] ","B ",0,99,"Point ",1,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","60-51-5 ","[-] ","B ",0,99,"Point ",4,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","63-25-2 ","[-] ","B ",0,99,"Point ",19,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","68085-85-8 ","[-] ","B ",0,99,"Point ",11,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","7287-19-6 ","[-] ","B ",0,99,"Point ",1,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","74051-80-2 ","[-] ","B ",0,99,"Point ",2,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","82413-20-5 ","[-] ","B ",0,99,"Point ",1,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","85-40-5 ","[-] ","B ",0,99,"Point ",1,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","90-15-3 ","[-] ","B ",0,99,"Point ",1,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","90-43-7 ","[-] ","B ",0,99,"Point ",5,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","91465-08-6 ","[-] ","B ",0,99,"Point ",1,0
"AS ","FOOD; AS: ASPARAGUS ","detects ","959-98-8 ","[-] ","B ",0,99,"Point ",2,0
"AS ","FOOD; AS: ASPARAGUS ","nondetects ","101-21-3 ","[-] ","B ",0,99,"Point ",0,0
"AS ","FOOD; AS: ASPARAGUS ","nondetects ","10265-92-6 ","[-] ","B ",0,99,"Point ",0,0
"AS ","FOOD; AS: ASPARAGUS ","nondetects ","1031-07-8 ","[-] ","B ",0,99,"Point ",0,0
"AS ","FOOD; AS: ASPARAGUS ","nondetects ","10453-86-8 ","[-] ","B ",0,99,"Point ",0,0
"AS ","FOOD; AS: ASPARAGUS ","nondetects ","1113-02-6 ","[-] ","B ",0,99,"Point ",0,0
"AS ","FOOD; AS: ASPARAGUS ","nondetects ","138261-41-5 ","[-] ","B ",0,99,"Point ",0,0
"AS ","FOOD; AS: ASPARAGUS ","nondetects ","148-79-8 ","[-] ","B ",0,99,"Point ",0,0
"AS ","FOOD; AS: ASPARAGUS ","nondetects ","1563-66-2 ","[-] ","B ",0,99,"Point ",0,0
"AS ","FOOD; AS: ASPARAGUS ","nondetects ","16655-82-6 ","[-] ","B ",0,99,"Point ",0,0
"AS ","FOOD; AS: ASPARAGUS ","nondetects ","16752-77-5 ","[-] ","B ",0,99,"Point ",0,0
"AS ","FOOD; AS: ASPARAGUS ","nondetects ","1861-32-1 ","[-] ","B ",0,99,"Point ",0,0
