"source.type","source.id","source.description","indoor","food.residue","food.migration","product.direct.dermal","product.direct.ingestion","product.direct.inhalationaerosol","product.direct.inhalationvapor","product.downthedrain","product.indirect","article.emission"
"Product","P.AC.010.029","arts and crafts adhesive-spray",1,0,0,1,0,1,1,1,1,0
"Product","P.AC.010.999","arts and crafts adhesive-NOC",1,0,0,1,0,0,1,1,1,0
"Product","P.AC.020.000","arts and crafts cleaner",1,0,0,1,0,0,1,1,1,0
"Product","P.AC.030.029","arts and crafts finish-spray",1,0,0,1,0,1,1,1,1,0
"Product","P.AC.030.999","arts and crafts finish-NOC",1,0,0,1,0,0,1,1,1,0
"Product","P.AC.040.000","arts and crafts paint",1,0,0,1,0,0,1,1,1,0
"Product","P.AC.050.029","body paint-spray",1,0,0,1,0,1,1,1,0,0
"Product","P.AC.050.999","body paint-NOC",1,0,0,1,0,0,1,1,0,0
"Product","P.AC.060.000","bubble solution",1,0,0,1,0,0,1,1,0,0
"Product","P.AC.070.000","craft kit",1,0,0,1,0,0,1,1,1,0
"Product","P.AC.080.000","crayons",1,0,0,1,0,0,1,0,1,0
"Product","P.AC.090.000","dye",1,0,0,1,0,0,1,1,1,0
"Product","P.AC.100.029","fabric paints and sealers-spray",1,0,0,1,0,1,1,1,1,0
"Product","P.AC.100.999","fabric paints and sealers-NOC",1,0,0,1,0,0,1,1,1,0
"Product","P.AC.110.000","finger paint",1,0,0,1,0,0,1,1,0,0
"Product","P.AC.120.000","flocking",1,0,0,1,0,1,1,1,1,0
"Product","P.AC.130.000","fogger",1,0,0,0,0,0,1,1,1,0
"Product","P.AC.140.000","glaze",1,0,0,1,0,0,1,1,1,0
"Product","P.AC.150.000","gun cleaner",1,0,0,1,0,0,1,1,1,0
"Product","P.AC.160.000","pens and markers",1,0,0,1,0,0,1,0,1,0
"Product","P.AC.170.000","play dough",1,0,0,1,0,0,1,0,0,0
"Product","P.AP.010.000","antifreeze",0,0,0,1,0,0,1,0,0,0
"Product","P.AP.020.029","auto air freshener-spray",0,0,0,1,0,1,1,0,0,0
"Product","P.AP.020.999","auto air freshener-NOC",0,0,0,1,0,0,1,0,0,0
