"source.type","source.id","source.description","variable","units","mean","CV","form","min.age","max.age","gender"
"Product","P.AC.010.029","arts and crafts adhesive-spray","f.residual","[-]","0.01","0","point","0","99","B"
"Product","P.AC.010.029","arts and crafts adhesive-spray","f.aerosol","[-]","0.75","0.192450089729875","Uniform","0","99","B"
"Product","P.AC.010.029","arts and crafts adhesive-spray","volume","m^3","24","0","Point","0","99","B"
"Product","P.AC.010.029","arts and crafts adhesive-spray","f.drain","[-]","0.05","0.577350269189626","Uniform","0","99","B"
"Product","P.AC.010.029","arts and crafts adhesive-spray","mass","g","15","1","Lognormal","0","99","B"
"Product","P.AC.010.029","arts and crafts adhesive-spray","use.freq","1/year","12","1","lognormal","0","99","B"
"Product","P.AC.010.029","arts and crafts adhesive-spray","duration","minutes","18","1","Lognormal","0","99","B"
"Product","P.AC.010.029","arts and crafts adhesive-spray","use.prev","[-]","0.4","1","point","0","12","B"
"Product","P.AC.010.029","arts and crafts adhesive-spray","use.prev","[-]","0.26","1","point","13","99","M"
"Product","P.AC.010.029","arts and crafts adhesive-spray","use.prev","[-]","0.26","1","point","13","99","W"
"Product","P.AC.010.029","arts and crafts adhesive-spray","f.contact","[-]","0.01","0","Point","0","99","B"
"Product","P.AC.010.029","arts and crafts adhesive-spray","house.prev","[-]","0.4","1","point","0","99","B"
"Product","P.AC.010.999","arts and crafts adhesive-NOC","f.residual","[-]","0.01","0","point","0","99","B"
"Product","P.AC.010.999","arts and crafts adhesive-NOC","volume","m^3","24","0","Point","0","99","B"
"Product","P.AC.010.999","arts and crafts adhesive-NOC","f.drain","[-]","0.05","0.577350269189626","Uniform","0","99","B"
"Product","P.AC.010.999","arts and crafts adhesive-NOC","mass","g","30","1","Lognormal","0","99","B"
"Product","P.AC.010.999","arts and crafts adhesive-NOC","use.freq","1/year","22","1","lognormal","0","99","B"
"Product","P.AC.010.999","arts and crafts adhesive-NOC","duration","minutes","22","1","Lognormal","0","99","B"
"Product","P.AC.010.999","arts and crafts adhesive-NOC","use.prev","[-]","0.4","1","point","0","12","B"
"Product","P.AC.010.999","arts and crafts adhesive-NOC","use.prev","[-]","0.26","1","point","13","99","M"
"Product","P.AC.010.999","arts and crafts adhesive-NOC","use.prev","[-]","0.26","1","point","13","99","W"
"Product","P.AC.010.999","arts and crafts adhesive-NOC","f.contact","[-]","0.017","0","Point","0","99","B"
"Product","P.AC.010.999","arts and crafts adhesive-NOC","house.prev","[-]","0.4","1","point","0","99","B"
"Product","P.AC.020.000","arts and crafts cleaner","f.residual","[-]","0.01","0","point","0","99","B"
"Product","P.AC.020.000","arts and crafts cleaner","volume","m^3","24","0","Point","0","99","B"
"Product","P.AC.020.000","arts and crafts cleaner","f.drain","[-]","1","0","Uniform","0","99","B"
"Product","P.AC.020.000","arts and crafts cleaner","mass","g","15","1","Lognormal","0","99","B"
"Product","P.AC.020.000","arts and crafts cleaner","use.freq","1/year","12","1","lognormal","0","99","B"
"Product","P.AC.020.000","arts and crafts cleaner","duration","minutes","5","1","Lognormal","0","99","B"
"Product","P.AC.020.000","arts and crafts cleaner","use.prev","[-]","0.02","1","point","0","12","B"
"Product","P.AC.020.000","arts and crafts cleaner","use.prev","[-]","0.01","1","point","13","99","M"
"Product","P.AC.020.000","arts and crafts cleaner","use.prev","[-]","0.02","1","point","13","99","W"
"Product","P.AC.020.000","arts and crafts cleaner","f.contact","[-]","0.01","0","Point","0","99","B"
"Product","P.AC.020.000","arts and crafts cleaner","house.prev","[-]","0.02","1","point","0","99","B"
"Product","P.AC.030.029","arts and crafts finish-spray","f.residual","[-]","0.01","0","point","0","99","B"
"Product","P.AC.030.029","arts and crafts finish-spray","f.aerosol","[-]","0.75","0.192450089729875","Uniform","0","99","B"
"Product","P.AC.030.029","arts and crafts finish-spray","volume","m^3","24","0","Point","0","99","B"
"Product","P.AC.030.029","arts and crafts finish-spray","f.drain","[-]","0.05","0.577350269189626","Uniform","0","99","B"
"Product","P.AC.030.029","arts and crafts finish-spray","mass","g","50","1","Lognormal","0","99","B"
"Product","P.AC.030.029","arts and crafts finish-spray","use.freq","1/year","12","1","lognormal","0","99","B"
"Product","P.AC.030.029","arts and crafts finish-spray","duration","minutes","30","1","Lognormal","0","99","B"
"Product","P.AC.030.029","arts and crafts finish-spray","use.prev","[-]","0.02","1","point","0","12","B"
"Product","P.AC.030.029","arts and crafts finish-spray","use.prev","[-]","0.01","1","point","13","99","M"
"Product","P.AC.030.029","arts and crafts finish-spray","use.prev","[-]","0.02","1","point","13","99","W"
"Product","P.AC.030.029","arts and crafts finish-spray","f.contact","[-]","0.01","0","Point","0","99","B"
"Product","P.AC.030.029","arts and crafts finish-spray","house.prev","[-]","0.02","1","point","0","99","B"
"Product","P.AC.030.999","arts and crafts finish-NOC","f.residual","[-]","0.01","0","point","0","99","B"
"Product","P.AC.030.999","arts and crafts finish-NOC","volume","m^3","24","0","Point","0","99","B"
"Product","P.AC.030.999","arts and crafts finish-NOC","f.drain","[-]","0.05","0.577350269189626","Uniform","0","99","B"
"Product","P.AC.030.999","arts and crafts finish-NOC","mass","g","50","1","Lognormal","0","99","B"
"Product","P.AC.030.999","arts and crafts finish-NOC","use.freq","1/year","12","1","lognormal","0","99","B"
"Product","P.AC.030.999","arts and crafts finish-NOC","duration","minutes","30","1","Lognormal","0","99","B"
"Product","P.AC.030.999","arts and crafts finish-NOC","use.prev","[-]","0.02","1","point","0","12","B"
"Product","P.AC.030.999","arts and crafts finish-NOC","use.prev","[-]","0.01","1","point","13","99","M"
"Product","P.AC.030.999","arts and crafts finish-NOC","use.prev","[-]","0.02","1","point","13","99","W"
"Product","P.AC.030.999","arts and crafts finish-NOC","f.contact","[-]","0.01","0","Point","0","99","B"
"Product","P.AC.030.999","arts and crafts finish-NOC","house.prev","[-]","0.02","1","point","0","99","B"
"Product","P.AC.040.000","arts and crafts paint","f.residual","[-]","0.01","0","point","0","99","B"
"Product","P.AC.040.000","arts and crafts paint","volume","m^3","24","0","Point","0","99","B"
"Product","P.AC.040.000","arts and crafts paint","f.drain","[-]","0.05","0.577350269189626","Uniform","0","99","B"
"Product","P.AC.040.000","arts and crafts paint","mass","g","30","1","Lognormal","0","99","B"
"Product","P.AC.040.000","arts and crafts paint","use.freq","1/year","24","1","lognormal","0","99","B"
"Product","P.AC.040.000","arts and crafts paint","duration","minutes","30","1","Lognormal","0","99","B"
"Product","P.AC.040.000","arts and crafts paint","use.prev","[-]","0.4","1","point","0","12","B"
"Product","P.AC.040.000","arts and crafts paint","use.prev","[-]","0.05","1","point","13","99","M"
"Product","P.AC.040.000","arts and crafts paint","use.prev","[-]","0.2","1","point","13","99","W"
"Product","P.AC.040.000","arts and crafts paint","f.contact","[-]","0.047","0","Point","0","99","B"
"Product","P.AC.040.000","arts and crafts paint","house.prev","[-]","0.4","1","point","0","99","B"
"Product","P.AC.050.029","body paint-spray","f.residual","[-]","0.01","0","point","0","99","B"
"Product","P.AC.050.029","body paint-spray","f.aerosol","[-]","0.75","0.192450089729875","Uniform","0","99","B"
"Product","P.AC.050.029","body paint-spray","volume","m^3","24","0","Point","0","99","B"
"Product","P.AC.050.029","body paint-spray","f.drain","[-]","1","0","Uniform","0","99","B"
"Product","P.AC.050.029","body paint-spray","mass","g","15","1","Lognormal","0","99","B"
"Product","P.AC.050.029","body paint-spray","use.freq","1/year","12","1","lognormal","0","12","B"
"Product","P.AC.050.029","body paint-spray","use.freq","1/year","6","1","lognormal","13","99","B"
