source.type,source.ID,source.description,variable,var.description,Units,Gender,Min.Age,Max.Age,Form,Mean,CV
Product,AC1 ,ARTS AND CRAFTS; ARTS AND CRAFTS ADHESIVE ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,22,1
Product,AC1 ,ARTS AND CRAFTS; ARTS AND CRAFTS ADHESIVE ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.5,0
Product,AC1 ,ARTS AND CRAFTS; ARTS AND CRAFTS ADHESIVE ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC1 ,ARTS AND CRAFTS; ARTS AND CRAFTS ADHESIVE ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,30,1
Product,AC1 ,ARTS AND CRAFTS; ARTS AND CRAFTS ADHESIVE ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,22,1
Product,AC1 ,ARTS AND CRAFTS; ARTS AND CRAFTS ADHESIVE ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.4,0
Product,AC1 ,ARTS AND CRAFTS; ARTS AND CRAFTS ADHESIVE ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.4,0
Product,AC1 ,ARTS AND CRAFTS; ARTS AND CRAFTS ADHESIVE ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.4,0
Product,AC2 ,ARTS AND CRAFTS; ARTS AND CRAFTS CLEANER ,area ,Surface area of Product Application ,m^2 ,B ,0,99,lognormal ,0.903837189,1
Product,AC2 ,ARTS AND CRAFTS; ARTS AND CRAFTS CLEANER ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,30,1
Product,AC2 ,ARTS AND CRAFTS; ARTS AND CRAFTS CLEANER ,f.aerosol ,Fraction of chemcial used that is airborne for inhalation ,[-] ,B ,0,99,POINT ,0.2,0
Product,AC2 ,ARTS AND CRAFTS; ARTS AND CRAFTS CLEANER ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.01,0
Product,AC2 ,ARTS AND CRAFTS; ARTS AND CRAFTS CLEANER ,f.ingested ,Fraction ingested ,[-] ,B ,0,99,Lognormal ,0.5,0.2
Product,AC2 ,ARTS AND CRAFTS; ARTS AND CRAFTS CLEANER ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC2 ,ARTS AND CRAFTS; ARTS AND CRAFTS CLEANER ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,50,1
